,fecha,valordemanda,Año,Mes,Dia,DiaSemana
511,2012-05-26,639719.15,2012,5,26,6
512,2012-05-27,581433.1,2012,5,27,7
513,2012-05-28,694295.3,2012,5,28,1
514,2012-05-29,729063.72,2012,5,29,2
515,2012-05-30,736783.06,2012,5,30,3
516,2012-05-31,747942.75,2012,5,31,4
517,2012-06-01,749460.89,2012,6,1,5
518,2012-06-02,668965.72,2012,6,2,6
519,2012-06-03,601349.61,2012,6,3,7
520,2012-06-04,728126.93,2012,6,4,1
521,2012-06-05,760618.42,2012,6,5,2
522,2012-06-06,772336.2,2012,6,6,3
523,2012-06-07,760846.57,2012,6,7,4
524,2012-06-08,744291.32,2012,6,8,5
525,2012-06-09,661414.56,2012,6,9,6
526,2012-06-10,613849.41,2012,6,10,7
527,2012-06-11,739117.94,2012,6,11,1
528,2012-06-12,739756.37,2012,6,12,2
529,2012-06-13,743918.44,2012,6,13,3
530,2012-06-14,752587.71,2012,6,14,4
531,2012-06-15,757517.08,2012,6,15,5
532,2012-06-16,677692.2,2012,6,16,6
533,2012-06-17,619725.83,2012,6,17,7
534,2012-06-18,746755.86,2012,6,18,1
535,2012-06-19,758873.74,2012,6,19,2
536,2012-06-20,761413.92,2012,6,20,3
537,2012-06-21,769360.16,2012,6,21,4
538,2012-06-22,761961.94,2012,6,22,5
539,2012-06-23,690371.6,2012,6,23,6
540,2012-06-24,633530.29,2012,6,24,7
541,2012-06-25,779767.55,2012,6,25,1
542,2012-06-26,823280.42,2012,6,26,2
543,2012-06-27,841101.71,2012,6,27,3
544,2012-06-28,840407.52,2012,6,28,4
545,2012-06-29,807379.51,2012,6,29,5
546,2012-06-30,706996.09,2012,6,30,6
547,2012-07-01,628050.54,2012,7,1,7
548,2012-07-02,733422.89,2012,7,2,1
549,2012-07-03,766001.2,2012,7,3,2
550,2012-07-04,780275.31,2012,7,4,3
551,2012-07-05,775042.23,2012,7,5,4
552,2012-07-06,760727.4,2012,7,6,5
553,2012-07-07,689646.13,2012,7,7,6
554,2012-07-08,624532.04,2012,7,8,7
555,2012-07-09,758591.15,2012,7,9,1
556,2012-07-10,781524.1,2012,7,10,2
557,2012-07-11,781779.35,2012,7,11,3
558,2012-07-12,782560.56,2012,7,12,4
559,2012-07-13,800409.3,2012,7,13,5
560,2012-07-14,705168.94,2012,7,14,6
561,2012-07-15,629045.79,2012,7,15,7
562,2012-07-16,760974.65,2012,7,16,1
563,2012-07-17,797159.79,2012,7,17,2
564,2012-07-18,813253.65,2012,7,18,3
565,2012-07-19,817561.4,2012,7,19,4
566,2012-07-20,805809.4,2012,7,20,5
567,2012-07-21,711566.3,2012,7,21,6
568,2012-07-22,644295.55,2012,7,22,7
569,2012-07-23,769969.62,2012,7,23,1
570,2012-07-24,780926.59,2012,7,24,2
571,2012-07-25,776403.45,2012,7,25,3
572,2012-07-26,785448.78,2012,7,26,4
573,2012-07-27,772644.93,2012,7,27,5
574,2012-07-28,683782.33,2012,7,28,6
575,2012-07-29,620230.89,2012,7,29,7
576,2012-07-30,747594.53,2012,7,30,1
577,2012-07-31,766855.8,2012,7,31,2
578,2012-08-01,787081.43,2012,8,1,3
579,2012-08-02,785021.68,2012,8,2,4
580,2012-08-03,770489.31,2012,8,3,5
581,2012-08-04,683734.37,2012,8,4,6
582,2012-08-05,613982.97,2012,8,5,7
583,2012-08-06,707616.07,2012,8,6,1
584,2012-08-07,729679.59,2012,8,7,2
585,2012-08-08,749498.13,2012,8,8,3
586,2012-08-09,777562.62,2012,8,9,4
587,2012-08-10,791494.73,2012,8,10,5
588,2012-08-11,721230.09,2012,8,11,6
589,2012-08-12,640667.29,2012,8,12,7
590,2012-08-13,726823.08,2012,8,13,1
591,2012-08-14,737460.47,2012,8,14,2
592,2012-08-15,644120.37,2012,8,15,3
593,2012-08-16,726540.33,2012,8,16,4
594,2012-08-17,750200.01,2012,8,17,5
595,2012-08-18,698077.28,2012,8,18,6
596,2012-08-19,656192.91,2012,8,19,7
597,2012-08-20,786546.78,2012,8,20,1
598,2012-08-21,814633.94,2012,8,21,2
599,2012-08-22,819576.94,2012,8,22,3
600,2012-08-23,804431.63,2012,8,23,4
601,2012-08-24,786137.22,2012,8,24,5
